Regiao, Estado, UF, Governador, TotalCasos, TotalObitos
Norte,RO,MARCOS JOSE ROCHA DOS SANTOS,Rondônia,65386,1340
Norte,AC,GLADSON DE LIMA CAMELI,Acre,27885,657
Norte,AM,WILSON MIRANDA LIMA,Amazonas,136708,4031
Norte,RR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Roraima,49968,637
Norte,PA,HELDER ZAHLUTH BARBALHO,Pará,228068,6551
Norte,AP,ANTONIO WALDEZ GÓES DA SILVA,Amapá,47935,704
Norte,TO,MAURO CARLESSE,Tocantins,66865,922
Nordeste,MA,FLÁVIO DINO DE CASTRO E COSTA,Maranhão,172176,3735
Nordeste,PI,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,Piauí,94733,2101
Nordeste,CE,CAMILO SOBREIRA DE SANTANA,Ceará,239062,8921
Nordeste,RN,MARIA DE FATIMA BEZERRA,Rio Grande do Norte,68765,2377
Nordeste,PB,JOÃO AZEVEDO LINS FILHO,Paraíba,119987,2804
Nordeste,PE,PAULO HENRIQUE SARAIVA CÂMARA,Pernambuco,145096,8190
Nordeste,AL,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Alagoas,86393,2062
Nordeste,SE,BELIVALDO CHAGAS SILVA,Sergipe,77172,2025
Nordeste,BA,RUI COSTA DOS SANTOS,Bahia,306629,6648
Sudeste,MG,ROMEU ZEMA NETO,Minas Gerais,290137,7240
Sudeste,ES,JOSE RENATO CASAGRANDE,Espírito Santo,129796,3524
Sudeste,RJ,WILSON JOSÉ WITZEL,Rio de Janeiro,262006,18291
Sudeste,SP,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,São Paulo,973142,35125
Sul,PR,CARLOS ROBERTO MASSA JUNIOR,Paraná,175982,4378
Sul,SC,CARLOS MOISÉS DA SILVA,Santa Catarina,213066,2765
Sul,RS,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Rio Grande do Sul,185778,4648
Centro-Oeste,MS,REINALDO AZAMBUJA SILVA,Mato Grosso do Sul,68325,1278
Centro-Oeste,MT,MAURO MENDES FERREIRA,Mato Grosso,121145,3372
Centro-Oeste,GO,RONALDO RAMOS CAIADO,Goiás,202754,4529
Centro-Oeste,DF,IBANEIS ROCHA BARROS JUNIOR,Distrito Federal,190505,3203
