Norte,RO,65386,1340,Rondônia,MARCOS JOSE ROCHA DOS SANTOS
Norte,AC,27885,657,Acre,GLADSON DE LIMA CAMELI
Norte,AM,136708,4031,Amazonas,WILSON MIRANDA LIMA
Norte,RR,49968,637,Roraima,ANTONIO OLIVERIO GARCIA DE ALMEIDA
Norte,PA,228068,6551,Pará,HELDER ZAHLUTH BARBALHO
Norte,AP,47935,704,Amapá,ANTONIO WALDEZ GÓES DA SILVA
Norte,TO,66865,922,Tocantins,MAURO CARLESSE
Nordeste,MA,172176,3735,Maranhão,FLÁVIO DINO DE CASTRO E COSTA
Nordeste,PI,94733,2101,Piauí,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS
Nordeste,CE,239062,8921,Ceará,CAMILO SOBREIRA DE SANTANA
Nordeste,RN,68765,2377,Rio Grande do Norte,MARIA DE FATIMA BEZERRA
Nordeste,PB,119987,2804,Paraíba,JOÃO AZEVEDO LINS FILHO
Nordeste,PE,145096,8190,Pernambuco,PAULO HENRIQUE SARAIVA CÂMARA
Nordeste,AL,86393,2062,Alagoas,JOSE RENAN VASCONCELOS CALHEIROS FILHO
Nordeste,SE,77172,2025,Sergipe,BELIVALDO CHAGAS SILVA
Nordeste,BA,306629,6648,Bahia,RUI COSTA DOS SANTOS
Sudeste,MG,290137,7240,Minas Gerais,ROMEU ZEMA NETO
Sudeste,ES,129796,3524,Espírito Santo,JOSE RENATO CASAGRANDE
Sudeste,RJ,262006,18291,Rio de Janeiro,WILSON JOSÉ WITZEL
Sudeste,SP,973142,35125,São Paulo,JOÃO AGRIPINO DA COSTA DORIA JUNIOR
Sul,PR,175982,4378,Paraná,CARLOS ROBERTO MASSA JUNIOR
Sul,SC,213066,2765,Santa Catarina,CARLOS MOISÉS DA SILVA
Sul,RS,185778,4648,Rio Grande do Sul,EDUARDO FIGUEIREDO CAVALHEIRO LEITE
Centro-Oeste,MS,68325,1278,Mato Grosso do Sul,REINALDO AZAMBUJA SILVA
Centro-Oeste,MT,121145,3372,Mato Grosso,MAURO MENDES FERREIRA
Centro-Oeste,GO,202754,4529,Goiás,RONALDO RAMOS CAIADO
Centro-Oeste,DF,190505,3203,Distrito Federal,IBANEIS ROCHA BARROS JUNIOR
